LebwohlLasher_nb_parallel.py: Size: 100, Steps: 50, T*: 0.500: Order: 0.268, Time: 2.868942 s
         9568293 function calls (8906689 primitive calls) in 2.869 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4559    0.002    0.000    0.005    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/typeconv/typeconv.py:40(check_compatible)
     4068    0.002    0.000    0.027    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/binding/value.py:220(is_declaration)
     3616    0.002    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/instructions.py:439(descr)
    40217    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
     3777    0.002    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/llvmlite/ir/values.py:1091(_to_list)
     1150    0.002    0.000    0.004    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/parfors/parfor.py:4906(unwrap_parfor_blocks)
      355    0.002    0.000    0.003    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/analysis.py:190(compute_live_variables)
    19867    0.002    0.000    0.002    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/controlflow.py:118(successors)
       95    0.002    0.000    0.094    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/codegen.py:651(_optimize_functions)
  703/352    0.002    0.000    0.978    0.003 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/typeinfer.py:585(resolve)
      806    0.002    0.000    0.006    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/controlflow.py:662(_find_loops)
     2078    0.002    0.000    0.010    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/site-packages/numba/core/cpu_options.py:122(encode)
